timestamp,if_score,z_score,if_is_alert,z_is_alert
2025-01-02 08:12:00,0.6107619976501457,1.23065190088796,True,False
2025-01-02 08:11:00,0.5839853714404314,0.7791101885861236,True,False
2025-01-02 08:09:00,0.5829171453968884,0.0,True,False
2025-01-02 08:10:00,0.5799897562972529,0.5228521744327189,True,False
2025-01-02 08:07:00,0.577997425922279,0.0,True,False
2025-01-02 08:13:00,0.5715452320922525,0.9606230446420508,True,False
2025-01-02 08:08:00,0.5609124754032316,0.0,True,False
2025-01-02 20:27:00,0.557817034696755,0.6200178550375114,True,False
2025-01-02 07:31:00,0.556467562750957,1.3172863808011217,True,False
2025-01-02 23:24:00,0.5557392388979459,1.525087424488608,True,False
2025-01-02 14:09:00,0.5549475980156403,1.1339901802066243,True,False
2025-01-02 08:06:00,0.5535475537505045,0.0,True,False
2025-01-02 14:52:00,0.5508378661846105,1.603541512545264,False,False
2025-01-02 20:28:00,0.548253707140532,1.355082553543713,False,False
2025-01-02 20:29:00,0.5473532820936684,1.047565311863223,False,False
2025-01-02 14:51:00,0.5466929134345357,1.6358589232920175,False,False
2025-01-02 23:25:00,0.5466737898644027,0.6815943571718298,False,False
2025-01-02 14:53:00,0.5442135209728085,1.5687191804624931,False,False
2025-01-02 08:14:00,0.5438639437205038,0.4770496707645757,False,False
2025-01-02 11:22:00,0.5434255542833171,1.0360806832330829,False,False
